what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1269927387145
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927387568
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1269927387797
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1269927387806
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927391181
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927397275
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927401574
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927403585
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1269927403719
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1269927403736
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1269927403738
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1269927403769
started,bundle,org.eclipse.jst.j2ee.core,1.1.301.v200911302230,"org.eclipse.jst.j2ee.core",1269927403771
started,bundle,org.eclipse.jem,2.0.301.v201001252130,"org.eclipse.jem",1269927403787
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1269927403791
started,bundle,org.eclipse.jst.jee,1.0.201.v201002021055,"org.eclipse.jst.jee",1269927403924
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.1.v200911141836,"org.eclipse.jst.common.project.facet.core",1269927404014
started,bundle,org.eclipse.jpt.core,2.2.1.v200908270220,"org.eclipse.jpt.core",1269927404020
started,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1269927404025
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1269927404058
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1269927404077
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1269927404082
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1269927404138
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1269927404154
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1269927404165
started,bundle,org.eclipse.jst.j2ee,1.1.301.v201001272230,"org.eclipse.jst.j2ee",1269927404194
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1269927404229
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1269927404235
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1269927404334
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927406844
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927411175
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1269927411188
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927411613
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927422760
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927425756
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927428076
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1269927429544
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1269927429546
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1269927430657
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927431493
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927513264
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1269927515958
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1269927515979
